image,object_name,range,azimuth,elevation,mean_intensity,intensity_std,min_intensity,max_intensity,edge_density,edge_strength
00056.bmp,human body,10.0021,120.0,12.0,209.64986559139786,41.24987438864158,0,248,0.15288978494623656,135.72527472527472
00057.bmp,human body,10.0014,120.0,12.0,209.35099206349207,43.06045052956902,0,249,0.15753968253968254,136.70780856423173
00058.bmp,human body,10.0014,120.0,12.0,208.35256410256412,46.317167471499026,0,248,0.17994505494505494,135.28880407124683
00059.bmp,human body,10.0014,120.0,12.0,213.00189393939394,38.09148008411923,0,244,0.11363636363636363,138.51944444444445
00060.bmp,human body,10.0021,120.0,12.0,213.9963257807716,36.592390579866056,0,249,0.12033067973055726,132.57506361323155
00061.bmp,human body,10.0021,120.0,12.0,213.34084008097167,36.84333244771662,0,246,0.11513157894736842,128.28571428571428
00062.bmp,human body,10.0021,120.0,12.0,211.2110694183865,41.417320942944464,0,249,0.13109756097560976,137.30948121645795
00063.bmp,human body,10.0014,120.0,12.0,214.34713595583162,37.242878723412005,0,252,0.12387853692201518,132.84122562674094
00064.bmp,human body,10.0007,120.0,12.0,209.81430568499533,40.543594872543586,0,242,0.14934762348555453,134.05928237129484
00065.bmp,human body,10.0007,120.0,12.0,216.71693121693121,31.63358447079154,0,243,0.08956916099773243,129.7805907172996
00066.bmp,human body,10.0021,120.0,12.0,210.00685185185185,42.138767112872046,0,252,0.14203703703703704,137.64537157757496
00067.bmp,human body,10.0014,120.0,12.0,209.4472972972973,41.43645864824853,0,252,0.1427927927927928,127.9589905362776
00068.bmp,human body,10.0007,120.0,12.0,209.24792626728112,43.948480603003055,0,251,0.1608294930875576,137.554441260745
00069.bmp,human body,10.0007,120.0,12.0,208.5290750915751,46.149036684133314,0,250,0.1646062271062271,138.663421418637
00070.bmp,human body,10.0014,120.0,12.0,210.78667953667954,38.84008840557526,0,250,0.1406853281853282,126.49056603773585
00071.bmp,human body,10.0014,120.0,12.0,210.87149425287356,39.49575610924256,0,247,0.13034482758620689,136.51322751322752
00072.bmp,human body,10.0021,120.0,12.0,211.6609100877193,41.0583985367161,0,248,0.14199561403508773,131.6158301158301
00073.bmp,human body,10.0014,120.0,12.0,207.2551724137931,48.33043532799247,0,251,0.19586206896551725,135.69366197183098
00074.bmp,human body,10.0007,120.0,12.0,209.0610902255639,44.38967409748106,0,250,0.15906954887218044,140.97193500738553
00075.bmp,human body,10.0007,120.0,12.0,210.95939334637964,39.43365349803896,0,253,0.14090019569471623,129.88888888888889
00076.bmp,human body,10.0007,120.0,12.0,216.15697004608296,32.89375724867238,0,254,0.10339861751152074,124.75487465181058
00077.bmp,human body,10.0007,120.0,12.0,211.60261194029852,42.70240847651548,0,253,0.1644900497512438,132.8241965973535
00078.bmp,human body,10.0007,120.0,12.0,211.32901408450704,44.909247178354725,0,255,0.1523943661971831,141.8687615526802
00079.bmp,human body,10.0007,120.0,12.0,218.04327521793275,32.48038484967174,0,252,0.08437110834371109,139.6531365313653
00080.bmp,human body,10.0007,120.0,12.0,211.00926402470407,41.91017299827107,0,249,0.15131240349974268,139.6921768707483
00081.bmp,human body,10.0014,120.0,12.0,215.3761904761905,36.763718265779694,0,253,0.1244047619047619,124.78947368421052
00082.bmp,human body,10.0021,120.0,12.0,212.25747282608697,35.72358357336981,0,255,0.12092391304347826,126.24906367041199
00083.bmp,human body,10.0007,120.0,12.0,215.0853494623656,38.65829558606809,0,252,0.10954301075268817,130.41411042944785
00084.bmp,human body,10.0007,120.0,12.0,213.43010033444816,40.12636766012199,0,246,0.13043478260869565,135.6974358974359
00085.bmp,human body,10.0014,120.0,12.0,212.58371187540558,42.79633832948174,0,251,0.13562621674237507,138.82775119617224
00086.bmp,human body,10.0014,120.0,12.0,214.82983870967743,39.42271017311393,0,246,0.12419354838709677,142.10714285714286
00087.bmp,human body,10.0014,120.0,12.0,211.18190476190478,39.57916226072466,0,244,0.13936507936507936,134.49202733485194
00088.bmp,human body,10.0007,120.0,12.0,209.24385245901638,42.878624802341555,0,247,0.1635928961748634,136.97912317327766
00089.bmp,human body,10.0007,120.0,12.0,207.49107142857142,43.6949417685117,0,251,0.16170634920634921,136.6564417177914
00090.bmp,human body,10.0007,120.0,12.0,209.47312801932367,42.81025434321164,0,250,0.161231884057971,141.97940074906367
00091.bmp,human body,10.0007,120.0,12.0,213.85375494071147,37.36090173769958,0,250,0.13669301712779974,136.055421686747
00092.bmp,human body,10.0014,120.0,12.0,209.815625,41.54565593046652,0,252,0.15078125,142.49050086355786
00093.bmp,human body,10.0021,120.0,12.0,209.28657120743034,43.48643205906759,0,255,0.16389318885448917,135.39669421487602
00094.bmp,human body,10.0021,120.0,12.0,213.62891405729513,35.72559294715286,0,249,0.12025316455696203,122.57063711911357
00095.bmp,human body,10.0014,120.0,12.0,211.4031884057971,39.34018915292213,0,242,0.12695652173913044,137.62100456621005
00096.bmp,human body,10.0021,120.0,12.0,207.21968590211833,49.30060280721536,0,252,0.2085463842220599,136.2521891418564
00097.bmp,human body,10.0021,120.0,12.0,209.67608517608517,46.467881800828934,0,253,0.18591318591318592,128.29845814977975
00098.bmp,human body,10.0021,120.0,12.0,206.89866979655713,45.165738757845894,0,254,0.18701095461658843,132.9581589958159
00099.bmp,human body,10.0021,120.0,12.0,207.0245863970588,48.00656829594464,0,253,0.20519301470588236,137.2922732362822
00100.bmp,human body,10.0021,120.0,12.0,211.5641797961075,42.301132672148725,0,251,0.1452734012974977,136.33333333333334
00101.bmp,human body,10.0021,120.0,12.0,213.70688657407408,39.21753521469495,0,252,0.13078703703703703,138.37610619469027
00102.bmp,human body,10.0021,120.0,12.0,211.8310810810811,41.393315904067975,0,251,0.15945945945945947,126.79802259887006
00103.bmp,human body,10.0021,120.0,12.0,207.19025974025973,47.934287770742756,0,252,0.1900974025974026,137.14859094790776
00104.bmp,human body,10.0014,120.0,12.0,208.2380081300813,46.066204330271326,0,250,0.17560975609756097,138.95833333333334
00105.bmp,human body,10.0014,120.0,12.0,207.17119047619047,45.22829369945011,0,247,0.18,138.5489417989418
00106.bmp,human body,10.0014,120.0,12.0,208.71234119782216,41.13109615516375,0,246,0.16333938294010888,133.36388888888888
00107.bmp,human body,10.0014,120.0,12.0,209.06,44.491589409742694,0,247,0.17743589743589744,134.85260115606937
00108.bmp,human body,10.0007,120.0,12.0,204.68019480519482,48.956600154252435,0,245,0.19642857142857142,139.44793388429753
00109.bmp,human body,10.0007,120.0,12.0,205.62410171365394,48.46581824864184,0,244,0.2084024322830293,140.6259946949602
00110.bmp,human body,10.0007,120.0,12.0,211.203026481715,39.24867067469545,0,244,0.14155107187894073,127.40311804008908
00111.bmp,human body,10.0007,120.0,12.0,210.88141025641025,41.80746514201645,0,248,0.14903846153846154,140.73763440860216
00112.bmp,human body,10.0007,120.0,12.0,207.33542039355993,45.832014353192164,0,249,0.17576028622540252,142.61959287531806
00113.bmp,human body,10.0014,120.0,12.0,208.34966216216216,42.9185134287164,0,247,0.15934684684684686,138.86395759717314
00114.bmp,human body,10.0014,120.0,12.0,209.58695652173913,42.64960824860233,0,245,0.1532474503488996,135.78984238178634
00115.bmp,human body,10.0014,120.0,12.0,209.2539024390244,43.009830661738924,0,243,0.15878048780487805,137.45622119815667
00116.bmp,human body,10.0021,120.0,12.0,207.07355273592387,43.44402113330853,0,243,0.17426645519429024,136.01023890784984
00117.bmp,human body,10.0014,120.0,12.0,205.40017857142857,49.172284949054074,0,252,0.20017857142857143,140.12756467439786
00118.bmp,human body,10.0014,120.0,12.0,211.10479375696767,39.61715687177651,0,255,0.13517279821627648,137.1319587628866
00119.bmp,human body,10.0014,120.0,12.0,210.15409309791332,38.564624569134175,0,255,0.13282504012841093,138.51661631419938
00120.bmp,human body,10.0014,120.0,12.0,211.34375,41.47298805380935,0,251,0.15353260869565216,129.69734513274335
00121.bmp,human body,10.0014,120.0,12.0,204.90688329839273,48.19580188664271,0,246,0.19304682040531096,140.6733031674208
00122.bmp,human body,10.0014,120.0,12.0,206.01685393258427,48.35174739597921,0,249,0.2,137.16666666666666
00123.bmp,human body,10.0014,120.0,12.0,210.70838252656435,44.71339889466218,0,253,0.15407319952774498,142.6934865900383
00124.bmp,human body,10.0014,120.0,12.0,206.19435736677116,44.158642825451146,0,246,0.16588296760710552,142.95433070866142
00125.bmp,human body,10.0021,120.0,12.0,209.2724867724868,38.32890705509596,0,255,0.14126984126984127,126.19101123595506
00126.bmp,human body,10.0021,120.0,12.0,206.190353460972,50.63738652722961,0,252,0.20968335787923417,139.21158911325725
00127.bmp,human body,9.99305,120.0,12.0,204.63223443223444,49.75031342832026,0,254,0.20091575091575092,140.45761166818596
00128.bmp,human body,10.0021,120.0,12.0,208.86960784313726,44.447960956376235,0,249,0.17181372549019608,138.0
00129.bmp,human body,10.0007,120.0,12.0,200.56262199089136,49.98750964767532,0,241,0.22519518542615485,141.73853376670277
00130.bmp,human body,10.0007,120.0,12.0,198.53273040482344,54.54668330876544,0,247,0.2520815389032443,143.80495444191345
00131.bmp,human body,10.0007,120.0,12.0,198.6003224206349,53.060571154158986,0,244,0.24603174603174602,139.80367943548387
00132.bmp,human body,10.0007,120.0,12.0,197.12904312668465,56.31652692606597,0,247,0.26994609164420486,142.2895656515227
00133.bmp,human body,10.0007,120.0,12.0,197.26447154471543,58.122728768679494,0,244,0.28260162601626015,145.37399309551208
00134.bmp,human body,10.0014,120.0,12.0,199.6166877104377,55.12845287724085,0,242,0.26188973063973064,144.6199276817999
00135.bmp,human body,10.0014,120.0,12.0,199.4782668881506,54.27511409943643,0,238,0.25179955703211515,143.83562396921386
00136.bmp,human body,10.0014,120.0,12.0,202.7437969924812,49.48511547174586,0,240,0.21484962406015037,141.81014873140856
00137.bmp,human body,10.0014,120.0,12.0,204.90565417488494,46.80302325471919,0,249,0.19345825115055884,141.02718776550552
00138.bmp,human body,10.0021,120.0,12.0,203.9738251041047,49.51683474780223,0,249,0.2108863771564545,143.73342736248236
00139.bmp,human body,10.0007,120.0,12.0,205.1735729386892,47.97590237387072,0,248,0.18964059196617336,139.95317725752508
00140.bmp,human body,10.0014,120.0,12.0,201.46083978558667,52.7820068517627,0,244,0.2307921381774866,140.4258064516129
00141.bmp,human body,10.0021,120.0,12.0,204.34496510468594,50.21432273217896,0,248,0.20613160518444665,142.93833131801694
00142.bmp,human body,10.0021,120.0,12.0,206.79572583750482,43.633609170810104,0,244,0.1601848286484405,140.08293269230768
00143.bmp,human body,10.0014,120.0,12.0,210.35844093735054,39.149731873248236,0,245,0.12792922046867528,135.36635514018693
00144.bmp,human body,10.0021,120.0,12.0,207.36493506493505,44.06913404691694,0,245,0.16590909090909092,141.1624266144814
00145.bmp,human body,10.0007,120.0,12.0,209.8949357520786,41.68175142876033,0,248,0.1349206349206349,140.5924369747899
00146.bmp,human body,10.0014,120.0,12.0,208.14673469387756,45.329662086187895,0,247,0.16,143.07780612244898
00147.bmp,human body,10.0007,120.0,12.0,209.4856603773585,41.26842621087449,0,247,0.13641509433962265,135.95573997233748
00148.bmp,human body,10.0007,120.0,12.0,204.4376811594203,50.16520273693181,0,246,0.20380434782608695,142.94222222222223
00149.bmp,human body,10.0014,120.0,12.0,212.5432808716707,39.21691018478754,0,251,0.14073849878934624,134.73763440860216
00150.bmp,human body,10.0007,120.0,12.0,211.27177089421392,41.932515337262494,0,253,0.14260666277030976,137.07172131147541
00151.bmp,human body,10.0014,120.0,12.0,205.7486231313926,47.94423873218303,0,248,0.19453186467348543,141.3447927199191
00152.bmp,human body,10.0014,120.0,12.0,213.84996861268047,37.48308798388351,0,252,0.10577526679221594,132.9673590504451
00153.bmp,human body,10.0014,120.0,12.0,213.60593220338984,37.203888440476874,0,254,0.1193502824858757,137.38165680473372
00154.bmp,human body,10.0007,120.0,12.0,210.3542372881356,42.96970351187563,0,246,0.15677966101694915,138.9027027027027
00155.bmp,human body,10.0007,120.0,12.0,212.19661458333334,40.14185152365655,0,247,0.15071614583333334,128.27861771058315
00156.bmp,human body,10.0007,120.0,12.0,203.37238644556598,47.75540874556812,0,255,0.20872386445565969,133.05267702936098
00157.bmp,human body,10.0007,120.0,12.0,206.04707532051282,47.134856518062094,0,255,0.19050480769230768,137.51629863301787
00158.bmp,human body,10.0001,120.0,12.0,209.52006688963212,43.903688663441436,0,250,0.15830546265328874,145.46654929577466
00159.bmp,human body,10.0001,120.0,12.0,208.29166666666666,45.56074680009159,0,244,0.17753623188405798,139.43731778425655
00160.bmp,human body,10.0007,120.0,12.0,203.54649330181246,50.86151028473111,0,249,0.2251116364591542,137.2024504084014
00161.bmp,human body,10.0014,120.0,12.0,211.9518581081081,39.37171539187473,0,248,0.1188063063063063,134.65402843601896
00162.bmp,human body,10.0021,120.0,12.0,210.29029304029305,38.797810834570974,0,250,0.12362637362637363,135.73703703703703
00163.bmp,human body,10.0007,120.0,12.0,207.56297831632654,42.74302724561548,0,251,0.16964285714285715,133.43984962406014
00164.bmp,human body,10.0007,120.0,12.0,212.58748674443265,35.93601495847947,0,246,0.10445387062566278,138.61928934010152
00165.bmp,human body,10.0007,120.0,12.0,210.72123719464145,44.64907064632432,0,251,0.1524822695035461,139.27260981912144
00166.bmp,human body,10.0007,120.0,12.0,207.3225925925926,49.443948893341364,0,250,0.19018518518518518,140.2765335929893
00167.bmp,human body,10.0007,120.0,12.0,212.770495951417,40.5256292919816,0,249,0.13815789473684212,132.96153846153845
00168.bmp,human body,15.0011,120.0,12.0,209.40197132616487,43.265773178464755,0,247,0.1686379928315412,138.4442082890542
00169.bmp,human body,15.0021,120.0,12.0,208.1015625,45.905426636444396,0,253,0.17142427884615385,140.51533742331287
00170.bmp,human body,15.0021,120.0,12.0,206.84759710335746,46.08215835280019,0,252,0.18515470704410797,140.68977777777778
00171.bmp,human body,15.0021,120.0,12.0,213.11424512987014,36.617147334199274,0,253,0.1266233766233766,130.18910256410257
00172.bmp,human body,15.0021,120.0,12.0,210.05193798449613,41.46727504122969,0,250,0.15833333333333333,133.68421052631578
00173.bmp,human body,15.0021,120.0,12.0,208.81786500366837,44.47921138882686,0,252,0.1724137931034483,138.89574468085107
00174.bmp,human body,15.0031,120.0,12.0,207.56737012987014,46.69340720273758,0,251,0.17857142857142858,140.23636363636365
00175.bmp,human body,14.9934,120.0,12.0,209.73071161048688,41.77049108773847,0,249,0.15168539325842698,139.12962962962962
00176.bmp,human body,14.9934,120.0,12.0,208.77407407407406,44.26440394381625,0,250,0.1705653021442495,138.82742857142858
00177.bmp,human body,15.0021,120.0,12.0,209.3426759410802,42.92154238485976,0,249,0.16121112929623568,134.19289340101523
00178.bmp,human body,15.0011,120.0,12.0,212.262891809909,35.649025673581264,0,248,0.11122345803842265,135.64545454545456
00179.bmp,human body,15.0011,120.0,12.0,205.7138888888889,48.89412542978154,0,247,0.209375,134.8407960199005
00180.bmp,human body,15.0021,120.0,12.0,205.29070881226053,46.72367484550488,0,244,0.20098978288633462,128.83002382843526
00181.bmp,human body,14.9934,120.0,12.0,207.52425944841676,44.68187602125103,0,246,0.17058222676200205,138.33383233532933
00182.bmp,human body,14.9934,120.0,12.0,207.5016501650165,44.58164069486376,0,248,0.16522277227722773,142.2921348314607
00183.bmp,human body,14.9934,120.0,12.0,209.04360902255638,43.43076884206693,0,244,0.1611528822055138,131.64541213063762
00184.bmp,human body,15.0021,120.0,12.0,206.20923913043478,45.10183964632917,0,246,0.18633540372670807,133.315625
00185.bmp,human body,15.0011,120.0,12.0,209.47492401215806,42.1013351432021,0,254,0.15273556231003038,139.99336650082918
00186.bmp,human body,15.0021,120.0,12.0,206.14647108843536,45.95594163685971,0,246,0.1996173469387755,134.33226837060704
00187.bmp,human body,15.0001,120.0,12.0,208.6813399778516,40.850076422442704,0,243,0.14894795127353266,132.58736059479554
00188.bmp,human body,15.0011,120.0,12.0,206.7391304347826,48.99150389931218,0,248,0.20018115942028986,139.4449472096531
00189.bmp,human body,15.0011,120.0,12.0,207.47389162561575,44.14916562905747,0,246,0.18226600985221675,129.5054054054054
00190.bmp,human body,15.0011,120.0,12.0,209.2545045045045,40.64238361089695,0,247,0.16441441441441443,130.2876712328767
00191.bmp,human body,15.0021,120.0,12.0,210.65026833631484,37.54256683572577,0,246,0.12723613595706618,131.42530755711775
00192.bmp,human body,14.9924,120.0,12.0,207.96183552930486,42.07807262042252,0,242,0.15810995002271694,139.11637931034483
00193.bmp,human body,15.0011,120.0,12.0,206.55558076225046,48.943192705735626,0,245,0.2014519056261343,140.8063063063063
00194.bmp,human body,15.0021,120.0,12.0,207.77460152460154,44.56779770884674,0,252,0.15783090783090784,142.83095499451153
00195.bmp,human body,15.0011,120.0,12.0,207.43407258064516,41.361614494303495,0,247,0.15262096774193548,131.6116248348745
00196.bmp,human body,15.0011,120.0,12.0,207.96575126262627,44.125963176642536,0,252,0.17582070707070707,134.37163375224418
00197.bmp,human body,14.9914,120.0,12.0,204.29335370511842,50.823917122762964,0,252,0.1906035141329259,143.2825651302605
00198.bmp,human body,15.0011,120.0,12.0,209.45065789473685,41.556357347983955,0,243,0.16047932330827067,135.9736456808199
00199.bmp,human body,15.0011,120.0,12.0,208.56224489795918,43.169206748409955,0,246,0.17020408163265305,134.1043165467626
00200.bmp,human body,15.0011,120.0,12.0,202.88981849120816,51.386263987822254,0,248,0.21157118547929665,142.83109919571046
00201.bmp,human body,15.0011,120.0,12.0,210.3476430976431,39.18052004517892,0,247,0.1393097643097643,131.82779456193353
00202.bmp,human body,15.0011,120.0,12.0,206.29940476190475,48.93376475378759,0,246,0.20773809523809525,135.2865329512894
00203.bmp,human body,15.0001,120.0,12.0,208.76534903280069,41.22186103349639,0,245,0.15264928511354078,136.20385674931129
00204.bmp,human body,15.0011,120.0,12.0,204.96332767402376,47.00059978445023,0,247,0.1828522920203735,145.28133704735376
00205.bmp,human body,14.9934,120.0,12.0,206.035960591133,45.843252471305654,0,249,0.190311986863711,138.10267471958585
00206.bmp,human body,15.0011,120.0,12.0,204.6791379310345,48.20022513127,0,245,0.20913793103448275,135.9967023907667
00207.bmp,human body,15.0021,120.0,12.0,206.33134920634922,44.93317932807391,0,244,0.18055555555555555,137.18351648351648
00208.bmp,ball,15.0011,120.0,12.0,199.47214854111405,54.135929163710244,0,240,0.2526525198938992,142.03412073490813
00208.bmp,human body,15.0011,120.0,12.0,204.08268633540374,49.94500620018379,0,246,0.21603260869565216,139.38095238095238
00209.bmp,ball,15.0011,120.0,12.0,199.70292207792207,56.82702071787024,0,245,0.24391233766233766,144.91680532445923
00209.bmp,human body,15.0011,120.0,12.0,204.53092006033182,48.18259037548991,0,242,0.2081447963800905,132.08242753623188
00210.bmp,ball,14.9934,120.0,12.0,201.6445283018868,54.602644022166764,0,242,0.2241509433962264,149.77104377104376
00210.bmp,human body,14.9934,120.0,12.0,206.82394366197184,48.550066984154,0,247,0.18676056338028169,137.86877828054298
00211.bmp,ball,15.0021,120.0,12.0,202.35038986354775,51.7698228351056,0,240,0.21150097465886938,150.22811059907835
00211.bmp,human body,15.0021,120.0,12.0,208.0725,45.69524676685019,0,247,0.16416666666666666,140.66328257191202
00212.bmp,ball,15.0011,120.0,12.0,201.92025862068965,53.132094852183194,0,245,0.23599137931034483,143.92998477929984
00212.bmp,human body,15.0011,120.0,12.0,207.2225790513834,45.33600526717863,0,246,0.17539525691699603,137.44225352112676
00213.bmp,ball,15.0011,120.0,12.0,198.00167410714286,56.34826236277839,0,241,0.25306919642857145,153.2646085997795
00213.bmp,human body,15.0011,120.0,12.0,205.74727272727273,45.819088338795524,0,241,0.1806818181818182,136.87924528301886
00214.bmp,ball,15.0021,120.0,12.0,206.00634057971016,46.67228830932691,0,247,0.15625,153.29565217391306
00214.bmp,human body,15.0021,120.0,12.0,213.4112215909091,34.69698276092982,0,241,0.11292613636363637,125.5377358490566
00215.bmp,ball,15.0011,120.0,12.0,202.07275862068965,52.991943590450234,0,243,0.21827586206896551,143.37440758293837
00215.bmp,human body,15.0011,120.0,12.0,217.0033143939394,34.81055994539247,0,245,0.09943181818181818,124.22380952380952
00216.bmp,ball,15.0011,120.0,12.0,200.28046594982078,54.470706239717686,0,246,0.22341696535244923,155.6524064171123
00216.bmp,human body,15.0011,120.0,12.0,208.6298611111111,47.0612980588159,0,249,0.17673611111111112,137.38310412573674
00217.bmp,human body,15.0021,120.0,12.0,197.99736842105264,60.02439191406889,0,240,0.2532894736842105,160.9896103896104
00217.bmp,ball,15.0021,120.0,12.0,209.3883744855967,41.879264890998,0,244,0.14248971193415638,141.76173285198556
00218.bmp,human body,15.0011,120.0,12.0,208.15212673611111,44.41013954728062,0,244,0.17903645833333334,132.38787878787878
00218.bmp,ball,15.0011,120.0,12.0,199.8403890160183,57.61651446796106,0,244,0.2580091533180778,148.02882483370288
00219.bmp,human body,15.0011,120.0,12.0,207.48257142857142,43.712109916906954,0,243,0.1722857142857143,133.98009950248758
00219.bmp,ball,15.0011,120.0,12.0,192.07125603864733,65.98439034800495,0,245,0.30112721417069244,162.89304812834226
00220.bmp,human body,14.9944,120.0,12.0,209.91552795031055,41.74755180683205,0,241,0.15962732919254657,129.96303501945525
